city,time,co,no2,o3,pm2_5,pm10,so2,aqi,source
kanpur,2025-10-26 00:00:00,8.1,9.1,8.5,165,112,10,165,AQICN
delhi,2025-10-26 12:00:00,2.1,11.9,105.2,173,112,7.9,173,AQICN
kannauj,2025-10-26 12:21:54,344.52,2.13,152.51,80.91,92.62,11.81,220,OWM
mahendragarh,2025-10-26 12:23:30,312.15,1.47,170.52,71.03,91.96,9.42,160,OWM
agra,2025-10-26 11:00:00,,2.3,36.8,155,60,6,155,AQICN
kannauj,2025-10-26 12:30:44,344.52,2.13,152.51,80.91,92.62,11.81,190,OWM
mahendragarh,2025-10-26 12:31:24,312.15,1.47,170.52,71.03,91.96,9.42,160,OWM
delhi,2025-10-29 19:00:00,10.3,73.9,4,220,190,10.1,220,AQICN
kanpur,2025-10-29 19:00:00,6.4,9.1,8.6,130,69,11.1,130,AQICN
mahendragarh,2025-10-29 19:12:13,471.85,16.91,98.41,104.73,122.01,6.79,190,OWM
kannauj,2025-10-29 19:13:16,391.05,6.55,89.88,55.2,64.08,3.47,160,OWM
agra,2025-10-29 19:00:00,,5,12.6,122,61,6.8,122,AQICN
bihar,2025-10-30 00:00:00,1.6,3.5,11.8,76,33,4,76,AQICN
kanpur,2025-11-12 01:00:00,9.6,9.1,8.5,184,148,10.4,184,AQICN
agra,2025-11-12 02:00:00,,4.7,11.1,311,140,6.4,311,AQICN
delhi,2025-11-12 02:00:00,7.5,32.8,6.1,459,461,16.3,461,AQICN
kanpur,2025-11-12 02:00:00,9.1,9.3,8.7,177,130,9.7,177,AQICN
delhi,2025-11-12 19:00:00,12.1,73.3,0.3,193,226,9.8,226,AQICN
ayodhya,2025-11-12 20:06:55,803.19,12.84,107.72,109.63,143.73,9.96,190,OWM
agra,2025-11-12 20:00:00,,9.5,2.7,160,125,6.8,160,AQICN
lucknow,2025-11-12 22:00:00,7.2,15.9,8.4,183,139,3.4,183,AQICN
kanpur,2025-11-13 01:00:00,11.6,9.2,9.3,193,165,10.2,193,AQICN
lucknow,2025-11-13 02:00:00,12.3,15.8,4.1,184,127,3.1,184,AQICN
agra,2025-11-13 02:00:00,,7.4,2.1,152,106,6.3,152,AQICN
mahendragarh,2025-11-13 02:10:15,471.93,17.86,49.81,70.54,171.2,2.83,160,OWM
gaya,2025-11-13 02:00:00,8.7,3.4,8.2,189,,4.4,189,AQICN
agartala,2025-11-13 02:00:00,,0.1,0.4,139,53,11.2,139,AQICN
mathura,2025-11-13 10:00:00,11.7,4.5,6.2,152,114,4.4,152,AQICN
mathura,2025-11-13 11:00:00,11.6,4.6,6.4,163,127,4.4,163,AQICN
kanpur,2025-11-13 11:00:00,8.2,9.4,9.6,168,130,9.3,168,AQICN
kannauj,2025-11-13 11:31:46,585.91,6.49,82.09,87.12,147.41,2.33,190,OWM
mahendragarh,2025-11-13 11:33:50,506.92,12.82,93.18,81.41,181.83,8.8,190,OWM
ayodhya,2025-11-13 11:34:34,834.08,4.8,124.36,130.49,191.84,7.49,190,OWM
jhajjar,2025-11-13 11:36:45,439.84,8.32,113.2,85.63,178.17,10.43,190,OWM
nainital,2025-11-13 11:38:15,1178.01,12.79,150.46,191.69,245.28,20.7,190,OWM
jammu,2025-11-13 11:38:57,2474.21,42.81,49.35,180.95,288.15,4.48,190,OWM
lucknow,2025-11-13 11:00:00,7.5,15.7,18.4,181,109,5.1,181,AQICN
araria,2025-11-13 18:00:00,6,0.7,4.1,154,69,8.5,154,AQICN
lucknow,2025-11-13 19:00:00,13,14,18.6,161,86,3.9,161,AQICN
mahendragarh,2025-11-13 19:07:04,576.54,31.26,67.53,63.6,124.65,7.7,160,OWM
jhajjar,2025-11-13 19:10:36,547.35,25.56,83.38,69.93,125.22,6.67,160,OWM
delhi,2025-11-14 11:00:00,5.1,30.5,16.4,251,343,14.9,343,AQICN
ayodhya,2025-11-14 11:42:34,907.84,6.12,120.58,154.93,218.54,8.99,190,OWM
mahendragarh,2025-11-14 11:56:39,709.79,20.89,85.69,92.91,181.56,9.49,190,OWM
madhubani,2025-11-14 11:58:27,1104.05,9.99,153.96,205.69,250.26,19.31,190,OWM
gaya,2025-11-14 11:00:00,6.3,3.4,7.7,157,,3.4,157,AQICN
mahendragarh,2025-11-14 12:06:06,273.72,3.75,145.32,53.86,124.13,9.51,160,OWM
lucknow,2025-11-14 17:00:00,12.4,15.2,31.4,139,113,2.9,139,AQICN
